dataset,refinement,elements,jm_dofs,h1_dofs,basis,smoother,h1,damping,iterations,residual,converged,moment_assembly_s,vertex_assembly_s,basis_map_s,aux_setup_s,smoother_setup_s,solve_median_s,apply_median_s
triangle_smooth,4,256,2400,1227,vertex,macro,split,1,22,3.57785236e-09,1,0.006141331,0.036285221,0.001492826,0.017602941,0.001594767,0.011213654,0.000465294
triangle_smooth,4,256,2400,1227,vertex,split,split,1,30,5.53708898e-09,1,0.006141331,0.036285221,0.001492826,0.017602941,0.000303089,0.013224583,0.00039365
triangle_smooth,5,1024,9408,1683,moment,jacobi,unsplit,1,99,9.30604759e-09,1,0.028350369,0.14353173,0.007403153,0.066894314,1.533e-06,0.199693395,0.002193702
triangle_smooth,5,1024,9408,1683,moment,macro,unsplit,1,23,7.78325863e-09,1,0.028350369,0.14353173,0.007403153,0.066894314,0.006688119,0.067899594,0.003053809
triangle_smooth,5,1024,9408,1683,moment,split,unsplit,1,30,9.09898446e-09,1,0.028350369,0.14353173,0.007403153,0.066894314,0.001222096,0.071429277,0.002509737
triangle_smooth,5,1024,9408,1683,vertex,jacobi,unsplit,1,41,8.08565412e-09,1,0.028350369,0.14353173,0.007403153,0.066894314,1.402e-06,0.092938821,0.002333966
triangle_smooth,5,1024,9408,1683,vertex,macro,unsplit,1,23,7.78250225e-09,1,0.028350369,0.14353173,0.007403153,0.066894314,0.007235117,0.069627992,0.003279514
triangle_smooth,5,1024,9408,1683,vertex,split,unsplit,1,30,9.09898446e-09,1,0.028350369,0.14353173,0.007403153,0.066894314,0.001370896,0.071029766,0.00241571
triangle_smooth,5,1024,9408,4755,moment,jacobi,split,1,62,8.43236406e-09,1,0.028350369,0.14353173,0.007403153,0.072890143,2.726e-06,0.145459893,0.002557155
triangle_smooth,5,1024,9408,4755,moment,macro,split,1,26,2.38666148e-09,1,0.028350369,0.14353173,0.007403153,0.072890143,0.006852098,0.081794477,0.003367729
triangle_smooth,5,1024,9408,4755,moment,split,split,1,30,8.44609296e-09,1,0.028350369,0.14353173,0.007403153,0.072890143,0.001177683,0.077629008,0.002814299
triangle_smooth,5,1024,9408,4755,vertex,jacobi,split,1,40,6.67532353e-09,1,0.028350369,0.14353173,0.007403153,0.072890143,1.392e-06,0.09996762,0.002887617
triangle_smooth,5,1024,9408,4755,vertex,macro,split,1,26,2.38851432e-09,1,0.028350369,0.14353173,0.007403153,0.072890143,0.007283759,0.08466461,0.003299611
triangle_smooth,5,1024,9408,4755,vertex,split,split,1,30,8.44609296e-09,1,0.028350369,0.14353173,0.007403153,0.072890143,0.001178906,0.077737793,0.00285235
square_random,0,32,320,75,moment,jacobi,unsplit,1,53,5.96055602e-09,1,0.000820923,0.004332572,0.000183185,0.002320291,8.72e-07,0.001425859,2.3454e-05
